Team Name,League
Barelang FC,Kid
Bold Hearts,Kid
CIT Brains (Kids),Kid
Elecateron-Laredo,Kid
I-KID,Kid
ITAndroids,Kid
MRL-HSL,Kid
Rhoban Football Club,Kid
RO:BIT,Kid
RoboFEI-HT,Kid
SYCU-Legendary,Kid
THMOS,Kid
UTRA,Kid
WF Wolves & Hamburg Bit-Bots,Kid
ZJUDancer,Kid
AMN United,Teen
EDROM,Teen
Ichiro,Teen
MRL-HSL,Teen
NUbots,Teen
WF Wolves & Hamburg Bit-Bots,Teen
CIT Brains and Team KIS,Adult
HERoEHS,Adult
IRC,Adult
NimbRo AdultSize,Adult
NKFUST,Adult
Sweaty,Adult
Tsinghua Hephaestus,Adult
ZSTT,Adult
